year,mes,asesinatos_es,asesinatos_es_p,asesinatos_es_gd,asesinatos_estado_all,month
2002,8,22,2,0,24,1
2002,9,11,4,0,15,2
2002,10,15,4,0,19,3
2002,11,7,2,0,9,4
2002,12,4,1,0,5,5
2003,1,15,3,0,18,6
2003,2,6,1,0,7,7
2003,3,18,3,0,21,8
2003,4,13,0,0,13,9
2003,5,27,5,0,32,10
2003,6,16,3,0,19,11
2003,7,15,4,0,19,12
2003,8,15,4,0,19,13
2003,9,24,1,0,25,14
2003,10,15,3,0,18,15
2003,11,23,2,0,25,16
2003,12,13,5,0,18,17
2004,1,14,2,0,16,18
2004,2,21,6,0,27,19
2004,3,22,5,0,27,20
2004,4,23,3,0,26,21
2004,5,25,3,0,28,22
2004,6,25,0,0,25,23
2004,7,27,1,0,28,24
2004,8,24,0,0,24,25
2004,9,24,4,0,28,26
2004,10,21,3,0,24,27
2004,11,28,2,0,30,28
2004,12,25,1,0,26,29
2005,1,22,0,0,22,30
2005,2,31,1,0,32,31
2005,3,27,3,0,30,32
2005,4,23,4,0,27,33
2005,5,45,5,0,50,34
2005,6,12,1,0,13,35
2005,7,23,3,0,26,36
2005,8,22,0,0,22,37
2005,9,19,1,0,20,38
2005,10,27,0,0,27,39
2005,11,22,1,0,23,40
2005,12,32,1,0,33,41
2006,1,30,0,0,30,42
2006,2,31,0,0,31,43
2006,3,53,1,0,54,44
2006,4,46,0,0,46,45
2006,5,37,3,1,41,46
2006,6,32,1,0,33,47
2006,7,35,1,0,36,48
2006,8,39,1,1,41,49
2006,9,38,0,0,38,50
2006,10,40,0,0,40,51
2006,11,49,0,0,49,52
2006,12,57,0,0,57,53
2007,1,62,0,1,63,54
2007,2,74,0,2,76,55
2007,3,89,0,0,89,56
2007,4,77,0,2,79,57
2007,5,81,0,1,82,58
2007,6,71,0,0,71,59
2007,7,76,0,0,76,60
2007,8,79,0,1,80,61
2007,9,59,0,0,59,62
2007,10,53,0,0,53,63
2007,11,37,0,1,38,64
2007,12,59,0,1,60,65
2008,1,61,0,2,63,66
2008,2,35,0,1,36,67
2008,3,57,0,0,57,68
2008,4,26,0,0,26,69
2008,5,23,0,1,24,70
2008,6,30,0,0,30,71
2008,7,39,0,0,39,72
2008,8,32,0,1,33,73
2008,9,20,0,0,20,74
2008,10,12,0,0,12,75
2008,11,1,0,1,2,76
2008,12,12,0,2,14,77
2009,1,3,0,0,3,78
2009,2,7,0,0,7,79
2009,3,10,0,0,10,80
2009,4,1,0,0,1,81
2009,5,4,0,0,4,82
2009,6,1,0,0,1,83
2009,7,8,0,0,8,84
2009,8,4,0,2,6,85
2009,9,5,0,0,5,86
2009,10,3,0,0,3,87
2009,11,2,0,0,2,88
2009,12,6,0,0,6,89
2010,1,5,0,0,5,90
2010,2,2,0,0,2,91
2010,3,6,0,0,6,92
2010,4,3,0,0,3,93
2010,5,0,0,0,0,94
2010,6,1,0,0,1,95
2010,7,2,0,0,2,96
